"","X.GENE_SYMBOL","ENTREZ_GENE_ID","EXOMISER_GENE_PHENO_SCORE","EXOMISER_GENE_VARIANT_SCORE","EXOMISER_GENE_COMBINED_SCORE","HUMAN_PHENO_SCORE","MOUSE_PHENO_SCORE","FISH_PHENO_SCORE","WALKER_SCORE","PHIVE_ALL_SPECIES_SCORE","OMIM_SCORE","MATCHES_CANDIDATE_GENE","HUMAN_PHENO_EVIDENCE","MOUSE_PHENO_EVIDENCE","FISH_PHENO_EVIDENCE","HUMAN_PPI_EVIDENCE","MOUSE_PPI_EVIDENCE","FISH_PPI_EVIDENCE"
"63","WDR20",91833,0.5011,0.9779,0.7112,0,0,0,0.5011,0.5011,1,0,"","","","Proximity to GNAS associated with Pseudohypoparathyroidism type 1C (ORPHA:79444): Dystonia (HP:0001332)-Laryngeal dystonia (HP:0012049), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Low urinary cyclic AMP response to PTH administration (HP:0003456), Ventriculomegaly (HP:0002119)-Choroid plexus calcification (HP:0006960), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Basal ganglia calcification (HP:0002135), ","Proximity to GNAS Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-no spontaneous movement (MP:0001404), Methylmalonic aciduria (HP:0012120)-abnormal urine catecholamine level (MP:0011478), Cerebellar atrophy (HP:0001272)-abnormal cerebellar cortex morphology (MP:0004097), ",""
"64","AMBRA1",55626,0.5002,0.9769,0.7074,0,0.2932,0.4469,0.5002,0.5002,1,0,"","Spasticity (HP:0001257)-abnormal telencephalon development (MP:0000934), Microcephaly (HP:0000252)-abnormal telencephalon development (MP:0000934), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal telencephalon development (MP:0000934), ","Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Methylmalonic aciduria (HP:0012120)-abnormal(ly) decreased process quality autophagy (ZP:0012095), Ventriculomegaly (HP:0002119)-abnormal(ly) hydrocephalic tectal ventricle (ZP:0008111), Cerebellar atrophy (HP:0001272)-abnormal(ly) hydrocephalic fourth ventricle (ZP:0003200), ","Proximity to GRID2 associated with Spinocerebellar ataxia, autosomal recessive 18 (OMIM:616204): Spasticity (HP:0001257)-Babinski sign (HP:0003487), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to GRID2 Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-retropulsion (MP:0010323), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ",""
"65","DNAH1",25981,0.5024,0.9701,0.699,0,0,0,0.5024,0.5024,1,0,"","","","Proximity to RTTN associated with Microcephaly, short stature, and polymicrogyria with seizures (OMIM:614833): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the corpus callosum (HP:0001273), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"66","FRMD5",84978,0.4747,0.9968,0.6901,0,0.4747,0,0,0.4747,1,0,"","Dystonia (HP:0001332)-hyperactivity (MP:0001399), Cataract (HP:0000518)-abnormal lens morphology (MP:0001303), ","","","",""
"67","BCL11B",64919,0.5006,0.9592,0.6736,0.3947,0,0,0.5006,0.5006,1,0,"?Immunodeficiency 49 (OMIM:617237): Spasticity (HP:0001257)-Spastic tetraplegia (HP:0002510), ","","","Proximity to RERE associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to RERE Spasticity (HP:0001257)-abnormal hippocampus neuron morphology (MP:0009939), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ","Proximity to RERE Spasticity (HP:0001257)-abnormal(ly) quality hair cell (ZP:0005010), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cataract (HP:0000518)-abnormal(ly) disorganized retina (ZP:0000655), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size brain (ZP:0000711), "
"68","HLA-DRB1",3123,0.5041,0.952,0.6671,0.4619,0,0,0.5041,0.5041,1,0,"Sarcoidosis (ORPHA:797): Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Hypercalciuria (HP:0002150), ","","","Proximity to AP1S2 associated with Mental retardation, X-linked syndromic 5 (OMIM:304340): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Dandy-Walker malformation (HP:0001305), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the basal ganglia (HP:0002134), Cerebellar atrophy (HP:0001272)-Dandy-Walker malformation (HP:0001305), ","Proximity to AP1S2 Spasticity (HP:0001257)-abnormal synaptic vesicle clustering (MP:0004793), Dystonia (HP:0001332)-hypoactivity (MP:0001402), ",""
"69","TRPC4AP",26133,0.5036,0.952,0.6659,0,0,0,0.5036,0.5036,1,0,"","","","Proximity to ERCC8 associated with Cockayne syndrome, type A (OMIM:216400): Spasticity (HP:0001257)-Patchy demyelination of subcortical white matter (HP:0002545), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Proteinuria (HP:0000093), Ventriculomegaly (HP:0002119)-Normal pressure hydrocephalus (HP:0002343), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Basal ganglia calcification (HP:0002135), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Proximity to ERCC8 Cerebellar atrophy (HP:0001272)-retinal photoreceptor degeneration (MP:0008450), ",""
"70","MUC20",200958,0.5007,0.9515,0.658,0,0,0,0.5007,0.5007,1,0,"","","","Proximity to B4GALNT1 associated with Autosomal recessive spastic paraplegia type 26 (ORPHA:101006): Spasticity (HP:0001257)-Lower limb spasticity (HP:0002061), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cataract (HP:0000518)-Cataract (HP:0000518), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hyperintensity of cerebral white matter on MRI (HP:0030890), Cerebellar atrophy (HP:0001272)-Abnormality of the cerebellum (HP:0001317), ","",""
"71","CACNA1D",776,0.5027,0.9484,0.6565,0.3947,0.2571,0.2301,0.5027,0.5027,1,0,"Primary aldosteronism, seizures, and neurologic abnormalities (OMIM:615474): Spasticity (HP:0001257)-Spastic tetraplegia (HP:0002510), ","Spasticity (HP:0001257)-abnormal cochlear outer hair cell physiology (MP:0004434), Cerebellar atrophy (HP:0001272)-cochlear outer hair cell degeneration (MP:0004404), ","Spasticity (HP:0001257)-abnormal(ly) process quality posterior lateral line neuromast hair cell development (ZP:0005007), Methylmalonic aciduria (HP:0012120)-abnormal(ly) process quality neuron-neuron synaptic transmission (ZP:0005006), ","Proximity to CACNA1B associated with ?Dystonia 23 (OMIM:614860): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Dystonia (HP:0001332)-Axial dystonia (HP:0002530), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to CACNA1B Spasticity (HP:0001257)-abnormal baroreceptor physiology (MP:0004184), Dystonia (HP:0001332)-hyperactivity (MP:0001399), ",""
"72","HECW1",23072,0.5001,0.9497,0.6529,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to VANGL2 associated with Neural tube defects (OMIM:182940): Microcephaly (HP:0000252)-Anencephaly (HP:0002323), Methylmalonic aciduria (HP:0012120)-Urinary incontinence (HP:0000020), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), ","Proximity to VANGL2 Spasticity (HP:0001257)-abnormal hippocampus morphology (MP:0000807), Dystonia (HP:0001332)-decreased vertical activity (MP:0002757), Microcephaly (HP:0000252)-abnormal hippocampus morphology (MP:0000807), Ventriculomegaly (HP:0002119)-abnormal brain ventricle morphology (MP:0000822), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal dorsal striatum morphology (MP:0004102), ","Proximity to VANGL2 Spasticity (HP:0001257)-abnormal(ly) process quality hindbrain motor neuron migration (ZP:0002533), Methylmalonic aciduria (HP:0012120)-abnormal(ly) decreased functionality pronephric duct cilium (ZP:0002547), Ventriculomegaly (HP:0002119)-abnormal(ly) duplicated fourth ventricle (ZP:0002540), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), Cerebellar atrophy (HP:0001272)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), "
"73","WWP2",11060,0.5005,0.9479,0.6502,0,0,0,0.5005,0.5005,1,0,"","","","Proximity to RERE associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to RERE Spasticity (HP:0001257)-abnormal hippocampus neuron morphology (MP:0009939), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ","Proximity to RERE Spasticity (HP:0001257)-abnormal(ly) quality hair cell (ZP:0005010), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cataract (HP:0000518)-abnormal(ly) disorganized retina (ZP:0000655), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size brain (ZP:0000711), "
"74","AKAP11",11215,0.5,0.9482,0.6496,0,0.4078,0,0.5,0.5,1,0,"","Dystonia (HP:0001332)-hypoactivity (MP:0001402), Methylmalonic aciduria (HP:0012120)-increased urine osmolality (MP:0008055), ","","Proximity to HCFC1 associated with Mental retardation, X-linked 3 (OMIM:309541): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), ","",""
"75","ADAMTS4",9507,0.5001,0.9467,0.6466,0,0.3016,0,0.5001,0.5001,1,0,"","Cerebellar atrophy (HP:0001272)-abnormal Purkinje cell morphology (MP:0000877), ","","Proximity to COQ8A associated with Autosomal recessive ataxia due to ubiquinone deficiency (ORPHA:139485): Spasticity (HP:0001257)-Abnormal pyramidal signs (HP:0007256), Dystonia (HP:0001332)-Dystonia (HP:0001332), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Focal T2 hypointense basal ganglia lesion (HP:0012752), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"76","SLC12A2",6558,0.5,0.946,0.6451,0,0.385,0,0.5,0.5,1,0,"","Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Cerebellar atrophy (HP:0001272)-ataxia (MP:0001393), ","","Proximity to GLI3 associated with Pallister-Hall syndrome (ORPHA:672): Microcephaly (HP:0000252)-Arrhinencephaly (HP:0002139), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormal basal ganglia MRI signal intensity (HP:0012751), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to GLI3 Spasticity (HP:0001257)-abnormal cerebral hemisphere morphology (MP:0008540), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Ventriculomegaly (HP:0002119)-abnormal cerebral aqueduct morphology (MP:0005537), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ",""
"77","SCN4A",6329,0.5001,0.9424,0.6375,0.4439,0.3249,0.3367,0.5001,0.5001,1,0,"Myotonia fluctuans (ORPHA:99734): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Blepharospasm (HP:0000643), ","Dystonia (HP:0001332)-akinesia (MP:0002690), ","Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), ","Proximity to QDPR associated with Hyperphenylalaninemia, BH4-deficient, C (OMIM:261630): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Hyperphenylalaninemia (HP:0004923), ","Proximity to QDPR Methylmalonic aciduria (HP:0012120)-increased circulating homocysteine level (MP:0012335), ",""
"78","SAP30BP",29115,0.5,0.9422,0.637,0,0,0,0.5,0.5,1,0,"","","","Proximity to ERCC3 associated with Xeroderma pigmentosum, group B (OMIM:610651): Spasticity (HP:0001257)-Abnormal CNS myelination (HP:0011400), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Basal ganglia calcification (HP:0002135), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"79","MYBPHL",343263,0.4492,0.9984,0.6342,0,0.4492,0,0,0.4492,1,0,"","Cataract (HP:0000518)-abnormal lens morphology (MP:0001303), ","","","",""
"80","CLCN7",1186,0.5001,0.9386,0.6294,0.3919,0.3706,0,0.5001,0.5001,1,0,"Albers-Schönberg osteopetrosis (ORPHA:53): Spasticity (HP:0001257)-Frontal bossing (HP:0002007), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Cerebellar atrophy (HP:0001272)-Optic atrophy (HP:0000648), ","Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), Cerebellar atrophy (HP:0001272)-neurodegeneration (MP:0002229), ","","Proximity to DNMT1 associated with Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome (ORPHA:314404): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Urinary incontinence (HP:0000020), Ventriculomegaly (HP:0002119)-Dilated third ventricle (HP:0007082), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the cerebral white matter (HP:0002500), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","Proximity to DNMT1 Spasticity (HP:0001257)-abnormal(ly) disrupted camera-type eye photoreceptor cell differentiation (ZP:0002689), Cataract (HP:0000518)-abnormal(ly) morphology lens (ZP:0000420), Methylmalonic aciduria (HP:0012120)-abnormal(ly) decreased process quality DNA methylation (ZP:0012546), "
"81","ATG101",60673,0.5001,0.9368,0.6256,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to SKI associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to SKI Spasticity (HP:0001257)-abnormal olfactory bulb morphology (MP:0000819), Microcephaly (HP:0000252)-abnormal olfactory bulb morphology (MP:0000819), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal olfactory bulb morphology (MP:0000819), ",""
"82","CSF1R",1436,0.5575,0.8603,0.6005,0.5069,0.5575,0.3306,0.5003,0.5575,1,0,"Leukoencephalopathy, diffuse hereditary, with spheroids (OMIM:221820): Spasticity (HP:0001257)-Spasticity (HP:0001257), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the cerebral white matter (HP:0002500), Cerebellar atrophy (HP:0001272)-Leukoencephalopathy (HP:0002352), ","Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-impaired coordination (MP:0001405), Microcephaly (HP:0000252)-abnormal lateral ventricle morphology (MP:0000823), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal corpus callosum morphology (MP:0000780), Cerebellar atrophy (HP:0001272)-neurodegeneration (MP:0002229), ","Spasticity (HP:0001257)-abnormal(ly) decreased process quality retina neurogenesis (ZP:0001166), Cataract (HP:0000518)-abnormal(ly) decreased process quality neural retina development (ZP:0001158), Ventriculomegaly (HP:0002119)-abnormal(ly) protruding into spinal cord towards central canal (ZP:0001162), ","Proximity to ATXN2 associated with Spinocerebellar ataxia type 2 (ORPHA:98756): Spasticity (HP:0001257)-Abnormal cortical gyration (HP:0002536), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral white matter atrophy (HP:0012762), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the substantia nigra (HP:0045007), Cerebellar atrophy (HP:0001272)-Cerebellar Purkinje layer atrophy (HP:0012082), ","Proximity to ATXN2 Dystonia (HP:0001332)-impaired coordination (MP:0001405), Cerebellar atrophy (HP:0001272)-abnormal Purkinje cell morphology (MP:0000877), ",""
"83","GPSM1",26086,0.5,0.9252,0.6001,0,0.2273,0,0.5,0.5,1,0,"","Spasticity (HP:0001257)-abnormal baroreceptor physiology (MP:0004184), ","","","Proximity to PRKAB1 Spasticity (HP:0001257)-abnormal neuronal precursor proliferation (MP:0004948), Dystonia (HP:0001332)-ataxia (MP:0001393), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ",""
"84","SCRIB",23513,0.5002,0.9218,0.5932,0,0.4641,0.4563,0.5002,0.5002,1,0,"","Spasticity (HP:0001257)-abnormal lateral ventricle morphology (MP:0000823), Microcephaly (HP:0000252)-abnormal lateral ventricle morphology (MP:0000823), Ventriculomegaly (HP:0002119)-abnormal lateral ventricle morphology (MP:0000823), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal lateral ventricle morphology (MP:0000823), ","Spasticity (HP:0001257)-abnormal(ly) disrupted neuron migration (ZP:0001562), Methylmalonic aciduria (HP:0012120)-abnormal(ly) cystic pronephros (ZP:0001445), Ventriculomegaly (HP:0002119)-abnormal(ly) malformed fourth ventricle (ZP:0000797), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), Cerebellar atrophy (HP:0001272)-abnormal(ly) mislocalised facial nerve motor nucleus (ZP:0002106), ","Proximity to PCLO associated with ?Pontocerebellar hypoplasia, type 3 (OMIM:608027): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"85","NPY4R",5540,0.5002,0.9206,0.5903,0,0,0,0.5002,0.5002,1,0,"","","","","Proximity to CCR10 Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-hypoactivity (MP:0001402), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ",""
"86","COL24A1",255631,0.5029,0.9174,0.5901,0,0,0,0.5029,0.5029,1,0,"","","","Proximity to COL18A1 associated with Knobloch syndrome, type 1 (OMIM:267750): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Congenital cataract (HP:0000519), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL18A1 Spasticity (HP:0001257)-dilated lateral ventricles (MP:0000825), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Methylmalonic aciduria (HP:0012120)-increased circulating creatinine level (MP:0005553), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-dilated lateral ventricles (MP:0000825), Cerebellar atrophy (HP:0001272)-dilated fourth ventricle (MP:0000829), ",""
"87","AP3S1",1176,0.506,0.9094,0.5803,0,0,0,0.506,0.506,1,0,"","","","Proximity to AP4M1 associated with Spastic paraplegia 50, autosomal recessive (OMIM:612936): Spasticity (HP:0001257)-Spastic tetraplegia (HP:0002510), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"88","PAMR1",25891,0.5,0.913,0.573,0,0,0,0.5,0.5,1,0,"","","","Proximity to SLC6A8 associated with X-linked creatine transporter deficiency (ORPHA:52503): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Abnormality of creatine metabolism (HP:0012113), ","Proximity to SLC6A8 Dystonia (HP:0001332)-hypoactivity (MP:0001402), Methylmalonic aciduria (HP:0012120)-decreased circulating creatine level (MP:0010065), ",""
"89","ITGA11",22801,0.5022,0.897,0.5422,0,0,0,0.5022,0.5022,1,0,"","","","Proximity to COL4A1 associated with Porencephaly 1 (OMIM:175780): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Limb dystonia (HP:0002451), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Leukoencephalopathy (HP:0002352), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL4A1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), ",""
"90","IL4I1",259307,0.5038,0.8908,0.5324,0,0,0,0.5038,0.5038,1,0,"","","","Proximity to ASNS associated with Asparagine synthetase deficiency (OMIM:615574): Spasticity (HP:0001257)-Spastic tetraplegia (HP:0002510), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to ASNS Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-enlarged lateral ventricles (MP:0008535), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral cortex morphology (MP:0000788), Cerebellar atrophy (HP:0001272)-decreased brain size (MP:0000774), ",""
"91","ATN1",1822,0.5209,0.8685,0.5256,0.4919,0.2502,0,0.5209,0.5209,1,0,"Dentatorubral pallidoluysian atrophy (ORPHA:101): Dystonia (HP:0001332)-Oromandibular dystonia (HP:0012048), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hyperintensity of cerebral white matter on MRI (HP:0030890), ","Dystonia (HP:0001332)-abnormal gait (MP:0001406), ","","Proximity to RERE associated with 1p36 deletion syndrome (ORPHA:1606): Spasticity (HP:0001257)-Hemiplegia/hemiparesis (HP:0004374), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","Proximity to RERE Spasticity (HP:0001257)-abnormal hippocampus neuron morphology (MP:0009939), Microcephaly (HP:0000252)-abnormal cerebral hemisphere morphology (MP:0008540), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal cerebral hemisphere morphology (MP:0008540), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ","Proximity to RERE Spasticity (HP:0001257)-abnormal(ly) quality hair cell (ZP:0005010), Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), Cataract (HP:0000518)-abnormal(ly) disorganized retina (ZP:0000655), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size brain (ZP:0000711), "
"92","POLE",5426,0.5038,0.8866,0.5229,0.2325,0,0,0.5038,0.5038,1,0,"FILS syndrome (OMIM:615139): Microcephaly (HP:0000252)-Relative macrocephaly (HP:0004482), ","","","Proximity to RNASEH2A associated with Aicardi-Goutieres syndrome 4 (OMIM:610333): Spasticity (HP:0001257)-Spasticity (HP:0001257), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Progressive microcephaly (HP:0000253), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"93","LMTK2",22853,0.5048,0.8853,0.5224,0,0,0,0.5048,0.5048,1,0,"","","","","Proximity to CDK5R1 Spasticity (HP:0001257)-ectopic Purkinje cell (MP:0000885), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-dilated lateral ventricles (MP:0000825), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellar molecular layer (MP:0000889), ","Proximity to CDK5R1 Spasticity (HP:0001257)-abnormal(ly) morphology retinal inner plexiform layer (ZP:0009492), Cataract (HP:0000518)-abnormal(ly) morphology retina (ZP:0000048), "
